comp1;comp2
Nike-Percassi;Gi Group
Nike-Percassi;UNICOOP FIRENZE
Nike-Percassi;Antica Focacceria San Francesco
Nike-Percassi;Starbucks-Percassi
Nike-Percassi;Dmail-Percassi
Nike-Percassi;Victoria's secret - Percassi 
Nike-Percassi;Roche UK
Nike-Percassi;Lego-Percassi
Nike-Percassi;RED
Nike-Percassi;MOOD HOTELS
Lego-Percassi;Nike-Percassi
Lego-Percassi;Gi Group
Lego-Percassi;Antica Focacceria San Francesco
Lego-Percassi;UNICOOP FIRENZE
Lego-Percassi;Starbucks-Percassi
Lego-Percassi;Victoria's secret - Percassi 
Lego-Percassi;Dmail-Percassi
Lego-Percassi;RED
Lego-Percassi;Roche UK
Lego-Percassi;MOOD HOTELS
Dmail-Percassi;Roche UK
Dmail-Percassi;UNICOOP FIRENZE
Dmail-Percassi;Starbucks-Percassi
Dmail-Percassi;Antica Focacceria San Francesco
Dmail-Percassi;Gi Group
Dmail-Percassi;Nike-Percassi
Dmail-Percassi;Victoria's secret - Percassi 
Dmail-Percassi;Lego-Percassi
Dmail-Percassi;RED
Dmail-Percassi;MOOD HOTELS
Starbucks-Percassi;UNICOOP FIRENZE
Starbucks-Percassi;Dmail-Percassi
Starbucks-Percassi;Antica Focacceria San Francesco
Starbucks-Percassi;Roche UK
Starbucks-Percassi;Gi Group
Starbucks-Percassi;Nike-Percassi
Starbucks-Percassi;Victoria's secret - Percassi 
Starbucks-Percassi;Lego-Percassi
Starbucks-Percassi;RED
Starbucks-Percassi;MOOD HOTELS
UNICOOP FIRENZE;Dmail-Percassi
UNICOOP FIRENZE;Gi Group
UNICOOP FIRENZE;Starbucks-Percassi
UNICOOP FIRENZE;Antica Focacceria San Francesco
UNICOOP FIRENZE;Roche UK
UNICOOP FIRENZE;Nike-Percassi
UNICOOP FIRENZE;Victoria's secret - Percassi 
UNICOOP FIRENZE;Lego-Percassi
UNICOOP FIRENZE;RED
UNICOOP FIRENZE;MOOD HOTELS
