job_ID;top_words
1063;['microbiolog', 'laboratorio', 'laborator', 'impegno', 'cepp']
1001;['principal', 'promozione', 'respirator', 'regressioni', 'prescrizioni']
1002;['scientif', 'prepar', 'font', 'medical', 'material']
913;['prepar', 'buon', 'support', 'drug', 'orphan']
918;['marketing', 'support', 'prepar', 'brand', 'compett']
919;['farmacolog', 'pulmonary', 'diseases', 'neonatology', 'rar']
963;['output', 'quantit', 'pianif', 'analis', 'sfe']
964;['prepar', 'meeting', 'support', 'material', 'brand']
784;['arter', 'elis', 'polmon', 'farmacolog', 'vasodilat']
785;['dopp', 'ragioner', 'centralin', 'scolast', 'manageriali']
1263;['ra', 'affairs', 'regulatory', 'etichette', 'illustrativi']
1267;['cred', 'privati', 'client', 'gestion', 'modal']
1268;['dimostr', 'laboratorio', 'dovr', 'chimico', 'il']
1269;['stabil', 'mesi', 'anagn', 'prosecu', 'linea']
1270;['approvvigion', 'contest', 'dimostr', 'produzione', 'struttur']
1271;['sanof', 'tirocin', 'var', 'compliance', 'medical']
1272;['ambiental', 'stabilimento', 'avveng', 'strett', 'hse']
1273;['funzione', 'mensil', 'svolg', 'dedicati', 'sprovvist']
1274;['lanc', 'funzion', 'marketing', 'support', 'dermatologia']
1031;['provinc', 'punt', 'geografica', 'disponibilita', 'ricerchiamo']
1032;['informativi', 'direzion', 'mil', 'mangement', 'ppm']
1146;['infin', 'logist', 'produrrann', 'trasporto', 'depos']
1147;['stor', 'mett', 'premiati', 'acedemy', 'manageriali']
1169;['affinanc', 'assort', 'articoli', 'beverag', 'carrefour']
1170;['digital', 'marketing', 'dove', 'andand', 'promoss']
1121;['managing', 'agencies', 'internal', 'marketing', 'stakeholders']
1122;['hr', 'interns', 'comfortabl', 'variety', 'ability']
1123;['channels', 'hr', 'digital', 'communication', 'comfortabl']
1124;['analysis', 'statistics', 'amplifon', 'eme', 'level']
1125;['hav', 'test', 'oral', 'skills', 'written']
1126;['verify', 'requests', 'team', 'completeness', 'enhancements']
1127;['marketing', 'creazion', 'support', 'scadenze', 'btl']
1035;['excellenc', 'analis', 'creazione', 'maturate', 'provigional']
1036;['consegu', 'pianif', 'replenishment', 'inventar', 'funzionale']
1190;['fashion', 'training', 'alli', 'academy', 'accadem']
1191;['marginalità', 'rinascente', 'adattamento', 'dovrann', 'infin']
816;['accogl', 'sport', 'rend', 'ogni', 'client']
817;['accogl', 'sport', 'rend', 'ogni', 'client']
818;['accogl', 'sport', 'rend', 'ogni', 'client']
861;['accogl', 'sport', 'rend', 'ogni', 'client']
