User_Id;rated_companies;suggested_companies
2373;['Unilever' 'Employerland Demo' 'Leroy Merlin' 'Whirlpool'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2378;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2381;"['EY' 'Lottomatica' 'RAI' 'Deloitte' 'Bosch' 'Unilever' 'Bricoman Italia'
 'Employerland Demo' 'Aeroporti di Roma' 'Employerland' 'Leroy Merlin'
 'Tech Data']";['Johnson & Johnson' 'Wind Tre' 'Findus' 'Microsoft' 'Goldenpoint']
2382;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2383;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2385;['Employerland'];"['EVERIS' 'Roche UK' 'Luxottica' 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
2386;['LUXOTTICA BRAZIL LTDA'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Unilever' 'Leroy Merlin']
2387;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' 'EVERIS' ""Victoria's secret - Percassi "" 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
2391;['LUXOTTICA BRAZIL LTDA'];"['Employerland' 'Roche UK' 'EVERIS' ""Victoria's secret - Percassi ""
 'Dmail-Percassi']"
2394;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2395;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2397;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2398;['Employerland'];['RAI' 'Microsoft' 'Aeroporti di Roma' 'Elica' 'Whirlpool']
2399;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2400;['Employerland' 'LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2401;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2402;['Employerland'];"['EVERIS' 'Roche UK' 'Luxottica' 'Dmail-Percassi'
 'Antica Focacceria San Francesco']"
2403;['LUXOTTICA BRAZIL LTDA' 'Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2405;['Employerland'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2406;['Employerland' 'Johnson & Johnson'];['RAI' 'Aeroporti di Roma' 'Microsoft' 'Elica' 'Whirlpool']
2407;['LUXOTTICA BRAZIL LTDA'];"['Roche UK' ""Victoria's secret - Percassi "" 'EVERIS'
 'Antica Focacceria San Francesco' 'Dmail-Percassi']"
2410;['LUXOTTICA BRAZIL LTDA' 'Employerland'];['Elica' 'Aeroporti di Roma' 'RAI' 'Microsoft' 'Whirlpool']
2412;['Employerland'];['Datalogic' 'Tech Data' 'Whirlpool' 'Aeroporti di Roma' 'Elica']
