job_ID;similar_ID;similarity_value
286;[286];[1.]
312;[312 546];[1.         0.54109246]
272;[272];[1.]
507;[ 507 1154  906];[1.         0.67434465 0.7625177 ]
508;[508];[1.]
509;[509 333];[1.         0.31539654]
333;[509 333 839];[0.31539654 1.         0.30743161]
546;[312 546];[0.54109246 1.        ]
592;[592 759];[1.         0.46637306]
1154;[ 507 1154 1010  951  906  801];[0.67434465 1.         0.34788693 0.34788693 0.86609344 0.33538857]
1057;[1057];[1.]
1058;[1058];[1.]
1009;[1009];[1.]
1010;[1154 1010  951];[0.34788693 1.         1.        ]
951;[1154 1010  951];[0.34788693 1.         1.        ]
905;[905];[1.]
906;[ 507 1154  906];[0.7625177  0.86609344 1.        ]
839;[333 839];[0.30743161 1.        ]
801;[1154  801];[0.33538857 1.        ]
759;[592 759 808];[0.46637306 1.         0.32041356]
357;[357];[1.]
358;[358];[1.]
342;[342 343];[1.         0.97619697]
343;[342 343];[0.97619697 1.        ]
678;[678];[1.]
444;[444 446 449 450];[1.         0.5884682  0.34994805 0.31900654]
446;[444 446 449 450];[0.5884682  1.         0.43571391 0.37691448]
449;[444 446 449 450 976];[0.34994805 0.43571391 1.         0.39501391 0.67295196]
450;[444 446 449 450];[0.31900654 0.37691448 0.39501391 1.        ]
799;[799 976];[1.         0.52385158]
800;[ 800  975 1019];[1.         0.44897042 0.47113421]
934;[934];[1.]
936;[936];[1.]
975;[ 800  975 1019];[0.44897042 1.         0.97539404]
976;[449 799 976];[0.67295196 0.52385158 1.        ]
977;[977];[1.]
1018;[1018];[1.]
1019;[ 800  975 1019];[0.47113421 0.97539404 1.        ]
674;[674];[1.]
675;[675];[1.]
676;[676];[1.]
970;[970];[1.]
971;[971];[1.]
779;[779 780];[1.         0.56370992]
780;[779 780];[0.56370992 1.        ]
1141;[1141];[1.]
1142;[1142  964];[1.         0.34101319]
1161;[1161];[1.]
1177;[1177];[1.]
1062;[1062 1001];[1.         0.32279137]
1063;[1063];[1.]
1001;[1062 1001  963];[0.32279137 1.         0.43700987]
1002;[1002  918  964];[1.         0.46715991 0.57983736]
913;[913 918 964];[1.         0.37676991 0.32127537]
918;[1002  913  918  919  964];[0.46715991 0.37676991 1.         0.30330922 0.73629647]
919;[918 919];[0.30330922 1.        ]
963;[1001  963];[0.43700987 1.        ]
964;[1142 1002  913  918  964];[0.34101319 0.57983736 0.32127537 0.73629647 1.        ]
784;[784];[1.]
785;[785];[1.]
1263;[1263];[1.]
1267;[1267];[1.]
1268;[1268 1270 1272];[1.         0.32743044 0.31763418]
1269;[1269];[1.]
1270;[1268 1270 1272 1273];[0.32743044 1.         0.48090761 0.3691339 ]
1271;[1271];[1.]
1272;[1268 1270 1272];[0.31763418 0.48090761 1.        ]
1273;[1270 1273];[0.3691339 1.       ]
1274;[1274];[1.]
1031;[1031];[1.]
1032;[1032];[1.]
1146;[1146];[1.]
